1. [b][url=https://www.gog.com/en/game/frostpunk]Frostpunk[/url][/b] [EUR 29.99 -> 5.99 (-80%), 2290/15000 sold]
2. [b][url=https://www.gog.com/en/game/solasta_crown_of_the_magister_supporter_edition]Solasta: Crown of the Magister Supporter Edition[/url][/b] [EUR 44.98 -> 22.49 (-50%), 1553/8000 sold]
3. [b][url=https://www.gog.com/en/game/lego_batman_3_beyond_gotham_premium_edition]LEGO(R) Batman(TM) 3: Beyond Gotham Premium Edition[/url][/b] [EUR 44.99 -> 4.99 (-89%), 1383/8000 sold]
4. [b][url=https://www.gog.com/en/game/founders_fortune]Founders' Fortune[/url][/b] [EUR 18.99 -> 9.49 (-50%), 383/8000 sold]
5. [b][url=https://www.gog.com/en/game/death_trash]Death Trash[/url][/b] [EUR 19.99 -> 15.99 (-20%), 609/3000 sold]
6. [b][url=https://www.gog.com/en/game/blood_fresh_supply]Blood: Fresh Supply[/url][/b] [EUR 8.19 -> 2.09 (-75%), 1156/3000 sold]
7. [b][url=https://www.gog.com/en/game/shovel_knight]Shovel Knight: Treasure Trove[/url][/b] [EUR 39.99 -> 22 (-45%), 353/3000 sold]
8. [b][url=https://www.gog.com/en/game/monster_train]Monster Train[/url][/b] [EUR 20.99 -> 6.29 (-70%), ?/3000 sold]
9. [b][url=https://www.gog.com/en/game/the_incredible_adventures_of_van_helsing_final_cut]The Incredible Adventures of Van Helsing: Final Cut[/url][/b] [EUR 44.99 -> 4.49 (-90%), 1402/3000 sold]
10. [b][url=https://www.gog.com/en/game/hitman_absolution]Hitman: Absolution[/url][/b] [EUR 19.99 -> 2.99 (-85%), 699/3000 sold]
11. [b][url=https://www.gog.com/en/game/field_of_glory_ii_medieval]Field of Glory II: Medieval[/url][/b] [EUR 24.99 -> 10.00 (-60%), 180/3000 sold]
12. [b][url=https://www.gog.com/en/game/kings_quest_4_5_6]King's Quest 4+5+6[/url][/b] [EUR 9.39 -> 3.29 (-65%), 421/3000 sold]
13. [b][url=https://www.gog.com/en/game/call_of_the_sea]Call of the Sea[/url][/b] [EUR 19.99 -> 10.00 (-50%), 466/3000 sold]
14. [b][url=https://www.gog.com/en/game/star_trek_away_team]Star Trek(TM): Away Team[/url][/b] [EUR 9.99 -> 6.99 (-30%), ?/3000 sold]
